
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
XOR                              XOR2                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR3                               5   1      1   1   1 1           1 0 OpSel2A             (22-34-13)
XOR                              XOR3                               5   1      2   2   1 2           2 0 OpSel2B             (22-40-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XOR                              XOR3                               5   1      3   3   1 3           3 0 2_1                 (2-64-13)
XOR                              XOR3                               5   1      4   4   1 4           4 0 2_1                 (2-64-13)
XOR                              XOR3                               5   1      5   5   1 5           5 0 C2                  (2-53-13)
XOR                              XOR3                               5   1      6   6   1 6           6 0 2Y                  (2-44-13)
XOR                              XOR3                               5   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR3                               5   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR3                               5   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR3                               5   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR3                               5   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR3                               5   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR3                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR3                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR4                               6   1      1   1   1 1           1 0 OpSel3A             (22-36-13)
XOR                              XOR4                               6   1      2   2   1 2           2 0 OpSel3B             (22-42-13)
XOR                              XOR4                               6   1      3   3   1 3           3 0 3_1                 (2-67-13)
XOR                              XOR4                               6   1      4   4   1 4           4 0 3_1                 (2-67-13)
XOR                              XOR4                               6   1      5   5   1 5           5 0 C3                  (2-54-13)
XOR                              XOR4                               6   1      6   6   1 6           6 0 3Y                  (2-45-13)
XOR                              XOR4                               6   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR4                               6   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR4                               6   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR4                               6   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR4                               6   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR4                               6   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR4                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR4                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR5                               2   1      1   1   1 1           1 0 OpSel4A             (22-37-13)
XOR                              XOR5                               2   1      2   2   1 2           2 0 OpSel4B             (22-43-13)
XOR                              XOR5                               2   1      3   3   1 3           3 0 4_1                 (2-70-13)
XOR                              XOR5                               2   1      4   4   1 4           4 0 4_1                 (2-70-13)
XOR                              XOR5                               2   1      5   5   1 5           5 0 C4                  (2-55-13)
XOR                              XOR5                               2   1      6   6   1 6           6 0 4Y                  (2-47-13)
XOR                              XOR5                               2   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR5                               2   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR5                               2   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR5                               2   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR5                               2   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR5                               2   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR5                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR5                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR6                               1   1      1   1   1 1           1 0 OpSel5A             (22-38-13)
XOR                              XOR6                               1   1      2   2   1 2           2 0 OpSel5B             (22-44-13)
XOR                              XOR6                               1   1      3   3   1 3           3 0 5_1                 (2-73-13)
XOR                              XOR6                               1   1      4   4   1 4           4 0 5_1                 (2-73-13)
XOR                              XOR6                               1   1      5   5   1 5           5 0 C5                  (2-56-13)
XOR                              XOR6                               1   1      6   6   1 6           6 0 5Y                  (2-48-13)
XOR                              XOR6                               1   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR6                               1   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR6                               1   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR6                               1   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR6                               1   1     11  11   1 9           9 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XOR                              XOR6                               1   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR6                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR6                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR7                               4   1      1   1   1 1           1 0 OpSel6A             (22-39-13)
XOR                              XOR7                               4   1      2   2   1 2           2 0 OpSel6B             (22-45-13)
XOR                              XOR7                               4   1      3   3   1 3           3 0 6_1                 (2-76-13)
XOR                              XOR7                               4   1      4   4   1 4           4 0 6_1                 (2-76-13)
XOR                              XOR7                               4   1      5   5   1 5           5 0 C6                  (2-57-13)
XOR                              XOR7                               4   1      6   6   1 6           6 0 6Y                  (2-49-13)
XOR                              XOR7                               4   1      7   7   1 13         13 0                     (0-0-0)
XOR                              XOR7                               4   1      8   8   1 12         12 0                     (0-0-0)
XOR                              XOR7                               4   1      9   9   1 11         11 0                     (0-0-0)
XOR                              XOR7                               4   1     10  10   1 10         10 0                     (0-0-0)
XOR                              XOR7                               4   1     11  11   1 9           9 0                     (0-0-0)
XOR                              XOR7                               4   1     12  12   1 8           8 0                     (0-0-0)
XOR                              XOR7                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
XOR                              XOR7                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
XOR                              XOR8                               3   1      1   1   1 1           1 0 OpSel7A             (22-41-13)
